"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 24 09:43:56 GMT 2023","Mon Jul 24 09:44:36 GMT 2023","39183","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Светшот должен содержать результат с тестом Свитшот",""
"failed","Mon Jul 24 09:44:36 GMT 2023","Mon Jul 24 09:45:14 GMT 2023","38748","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Бопинки должен содержать результат с тестом Ботинки",""
"failed","Mon Jul 24 09:45:14 GMT 2023","Mon Jul 24 09:45:52 GMT 2023","37384","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Блуска должен содержать результат с тестом Блузка",""
"skipped","Mon Jul 24 09:42:45 GMT 2023","Mon Jul 24 09:42:45 GMT 2023","0","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourierPayCard","Оформление заказа с доставкой курьером и оплатой картой анонимом",""
"failed","Mon Jul 24 09:42:12 GMT 2023","Mon Jul 24 09:42:45 GMT 2023","33113","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryCourier","Оформление заказа с доставкой курьером и НП анонимом",""
"failed","Mon Jul 24 09:40:21 GMT 2023","Mon Jul 24 09:41:05 GMT 2023","44269","","sanity.Authorization","","sanity.Authorization","successfulAuthorizationWithEmailAndPassword","Успешная авторизация через почту/пароль",""
"failed","Mon Jul 24 09:45:52 GMT 2023","Mon Jul 24 09:46:29 GMT 2023","37070","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Джынсы должен содержать результат с тестом Джинсы",""
"failed","Mon Jul 24 09:43:19 GMT 2023","Mon Jul 24 09:43:56 GMT 2023","37552","","sanity.SearchResults","","sanity.SearchResults","checkingTheCorrectionOfSearchResults","Проверка исправления результатов поиска. Поиск по слову Юпка должен содержать результат с тестом Юбка",""
"failed","Mon Jul 24 09:42:45 GMT 2023","Mon Jul 24 09:43:19 GMT 2023","33417","","sanity.OldCheckout","","sanity.OldCheckout","successfulOrderWithDeliveryPost","Оформление заказа с доставкой почтой России и НП анонимом",""
"failed","Mon Jul 24 09:41:39 GMT 2023","Mon Jul 24 09:42:12 GMT 2023","33194","","sanity.OldCheckout","","sanity.OldCheckout","testName","Оформление заказа с доставкой почтой и НП авторизованным пользователем",""
"failed","Mon Jul 24 09:41:06 GMT 2023","Mon Jul 24 09:41:39 GMT 2023","33169","","sanity.OldCheckout","","sanity.OldCheckout","testName2","Оформление заказа с доставкой курьером и НП авторизованным пользователем",""
